sample_index,question,answer,ground_truth,num_contexts,contexts,faithfulness
129,Tứ chẩn trong Đông y gồm những phương pháp nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Vọng chẩn (nhìn), Văn chẩn (nghe, ngửi), Vấn chẩn (hỏi), Thiết chẩn (bắt mạch và sờ nắn).",0,,
130,"Khi Vọng chẩn (nhìn), thầy thuốc cần quan sát những gì?","Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Quan sát thần sắc, hình thái, lưỡi và các bộ phận bên ngoài của người bệnh.",0,,
131,Vấn chẩn thường tập trung hỏi những vấn đề gì?,"Vấn chẩn thường tập trung hỏi những vấn đề liên quan đến các triệu chứng như: khó thở, giảm cân, chóng mặt, đau ngực, ho ra máu, tím tái, hạ huyết áp, buồn nôn, co giật, đau bụng, rối loạn nhịp tim, suy tim, giãn tĩnh mạch, tràn dịch màng phổi, mệt mỏi, sốt với ớn lạnh, tiêu chảy, khó tiêu, đổi màu ngón tay và móng chân, hạ đường huyết, rối loạn chức năng gan, và các dấu hiệu bất thường trong thai kỳ hoặc bệnh lý nội khoa.","Hỏi về hàn nhiệt, mồ hôi, ăn uống, giấc ngủ, đại tiểu tiện và các cảm giác đau đớn.",5,"{
  ""vấn_chẩn"": {
    ""triệu_chứng"": ""[Xanh tím, khó thở, bong nhau thai sớm, chảy máu sau sinh, giãn tĩnh mạch, táo bón, suy nhược, tiền sản giật, bất thường vị trí thai]""
  }
}

---

{
  ""vấn_chẩn"": {
    ""triệu_chứng"": ""['Giảm cân','Khó thở','giãn tĩnh mạch cảnh','tràn dịch màng ngoài tim','khó thở','chóng mặt kịch phát','gan mở rộng','globulin bất thường','tim đập nhanh']""
  }
}

---

{
  ""vấn_chẩn"": {
    ""triệu_chứng"": ""['Suy tim phải','đau ngực','khó thở','ho ra máu','hạ đường huyết quá thấp','rối loạn nhịp tim','tím tái','ho ra máu lớn','tràn dịch màng phổi ác tính','tắc mạch tim phổi']""
  }
}

---

{
  ""vấn_chẩn"": {
    ""triệu_chứng"": ""['nhức đầu','hạ huyết áp','mê sảng','ù tai','đi tiểu thường xuyên','bồn chồn','đau bụng','chóng mặt','buồn nôn','co giật']""
  }
}

---

{
  ""vấn_chẩn"": {
    ""triệu_chứng"": ""[\""giảm cân\"", \""khó thở\"", \""đổi màu ngón tay và móng chân...\"", \""tiêu chảy\"", \""dày kết cấu phổi\"", \""mệt mỏi\"", \""sốt với ớn lạnh\"", \""buồn nôn\"", \""khó tiêu\"", \""ho với khó thở\""]""
  }
}",
132,Học thuyết Kinh lạc bao gồm những thành phần chính nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Gồm 12 kinh mạch chính, 8 mạch kỳ kinh và các lạc mạch.",0,,
133,Mạch Đốc và mạch Nhâm có vị trí tuần hành như thế nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Mạch Đốc đi chính giữa dọc theo lưng (sau); mạch Nhâm đi chính giữa dọc theo ngực bụng (trước).,0,,
134,Huyệt vị là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Huyệt là nơi khí của tạng phủ và kinh lạc lộ ra ở bề mặt cơ thể, cũng là nơi tiếp nhận các kích thích để chữa bệnh.",0,,
135,Có mấy cách lấy huyệt cơ bản?,Không đủ dữ liệu để kết luận.,"Có 3 cách: Theo các mốc xương hoặc bộ phận cơ thể, dựa vào cảm giác đau (A thị huyệt) và dựa vào đo thốn (tấc).",1,"{
  ""so_cach_lay_huyet"": 8201
}",0.0
136,Phương pháp 'Cốt độ pháp' để lấy huyệt là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Là cách lấy khoảng cách giữa các bộ phận cơ thể quy định thành số thốn nhất định để chia ra lấy huyệt chính xác.,0,,
137,Huyệt Thái uyên nằm ở đâu và thuộc kinh nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Nằm ở lằn chỉ cổ tay phía xương quay, thuộc kinh Thủ thái âm Phế.",0,,
138,Vị trí và chủ trị của huyệt Hợp cốc?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Nằm ở khe giữa xương bàn tay ngón 1 và 2; chủ trị đau đầu, răng đau, sốt, các bệnh vùng mặt.",0,,
139,Huyệt Túc tam lý nằm ở đâu?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Nằm dưới xương bánh chè 3 thốn, cách mào xương chày một khoát ngón tay về phía ngoài.",0,,
140,Huyệt Tam âm giao là nơi hội của 3 kinh nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Túc thái âm Tỳ, Túc quyết âm Can và Túc thiếu âm Thận.",0,,
141,Huyệt Nội quan có tác dụng gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Trị đau tim, hồi hộp, nôn mửa, mất ngủ, rối loạn thần kinh thực vật.",0,,
142,Huyệt Ấn đường nằm ở vị trí nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Nằm ở điểm chính giữa đường nối hai đầu lông mày.,0,,
143,Huyệt Dũng tuyền nằm ở đâu và có tác dụng gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Nằm ở lòng bàn chân; chủ trị nhức đầu, chóng mặt, cấp cứu hôn mê, hạ huyết áp.",0,,
144,Thế nào là châm và cứu?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Châm là dùng kim đâm vào huyệt; cứu là dùng sức nóng (thường từ ngải diệp) tác động lên huyệt.,0,,
145,Cảm giác 'Đắc khí' khi châm cứu biểu hiện như thế nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Người bệnh cảm thấy căng, tê, nặng, tức tại vùng châm hoặc lan truyền theo đường kinh.",0,,
146,Nguyên tắc 'Hư bổ thực tả' trong châm cứu nghĩa là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Bệnh thuộc chứng hư (suy yếu) thì dùng phép bổ; bệnh thuộc chứng thực (dư thừa tà khí) thì dùng phép tả.,0,,
147,Phép 'Tý Ngọ lưu trú' là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Là phương pháp chọn huyệt mở để châm cứu căn cứ vào sự vận hành của khí huyết theo giờ địa chi trong ngày.,0,,
148,Huyệt nào thường được phối hợp với Hợp cốc để tạo thành 'Tứ quan huyệt'?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Huyệt Thái xung.,0,,
149,Chức năng của 'Tứ quan huyệt' là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Có tác dụng điều khí huyết, hòa âm dương, trấn tĩnh và hạ huyết áp.",0,,
150,Huyệt Nhân trung có tác dụng gì trong cấp cứu?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Dùng để khai khiếu, tỉnh thần, trị hôn mê, ngất xỉu và co giật.",0,,
151,Huyệt Bách hội nằm ở vị trí nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Nằm ở chính giữa đỉnh đầu, tại điểm giao nhau của đường dọc chính giữa đầu và đường nối hai đỉnh tai.",0,,
152,Triệu chứng của chứng 'Tâm huyết hư' là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Tim hồi hộp, mất ngủ, hay quên, sắc mặt nhợt nhạt, chất lưỡi nhạt, mạch tế vô lực.",0,,
153,Can hỏa vượng thường gây ra những triệu chứng gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Đau đầu, mắt đỏ, miệng đắng, tính tình nóng nảy, dễ nổi cáu, mạch huyền sác.",0,,
154,Phế âm hư thường biểu hiện qua các triệu chứng nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Ho khan ít đờm, họng khô, gò má đỏ, sốt về chiều, mồ hôi trộm, lưỡi hồng ít rêu.",0,,
155,Thận dương hư (Mệnh môn hỏa suy) có triệu chứng đặc trưng nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Sợ lạnh, chân tay lạnh, lưng gối đau mỏi, tiểu tiện nhiều lần, liệt dương hoặc di tinh.",0,,
156,Huyệt Thần môn nằm ở đâu và có tác dụng gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Nằm ở lằn chỉ cổ tay phía xương trụ; chủ trị mất ngủ, hồi hộp, bệnh tinh thần.",0,,
157,Vị trí của huyệt Phong trì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Nằm ở chỗ lõm phía sau gáy, giữa cơ ức đòn chũm và cơ thang, dưới xương chẩm.",0,,
158,Huyệt Kiên ngung chủ trị bệnh gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Đau khớp vai, liệt chi trên, đau bả vai.",0,,
159,Huyệt Lan vĩ có tác dụng đặc hiệu trong điều trị bệnh gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Viêm ruột thừa.,0,,
160,Phép chẩn bệnh bằng nhiệt độ kinh lạc dựa trên công cụ nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Dựa vào máy đo nhiệt độ da tại các tỉnh huyệt của 12 kinh mạch.,0,,
161,Mạch Phù thường gặp trong loại bệnh nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Thường gặp trong các bệnh ở Biểu (ngoại cảm).,0,,
162,Mạch Trầm thường biểu hiện bệnh ở đâu?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Biểu hiện bệnh ở Lý (tạng phủ sâu bên trong).,0,,
163,Mạch Huyền là mạch như thế nào và thường gặp ở bệnh nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Mạch đi căng như dây đàn; thường gặp trong bệnh ở Can Đảm, chứng đau hoặc chứng đàm ẩm.",0,,
164,Mạch Sác là mạch như thế nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Là mạch đi nhanh (trên 90 lần/phút), thường biểu hiện chứng Nhiệt.",0,,
165,Mạch Trì là mạch như thế nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Là mạch đi chậm (dưới 60 lần/phút), thường biểu hiện chứng Hàn.",0,,
166,Chứng 'Huyền vận' trong Đông y tương ứng với triệu chứng gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Tương ứng với chứng chóng mặt, hoa mắt.",0,,
167,Đông y giải thích hiện tượng mồ hôi trộm (đạo hãn) như thế nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Thường do âm hư hỏa vượng, tân dịch bị bức bách thoát ra ngoài khi ngủ.",0,,
168,"Để cầm mồ hôi, Đông y thường châm bổ và tả cặp huyệt nào?","Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Bổ Phục lưu và tả Hợp cốc.,0,,
169,Huyệt Cách du có tác dụng đặc biệt gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Là huyệt hội của huyết, dùng để trị các bệnh về huyết và nấc.",0,,
170,Huyệt Mệnh môn nằm ở đâu?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Nằm ở dưới gai đốt sống thắt lưng số 2.,0,,
171,Huyệt Trung quản nằm ở vị trí nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Trên rốn 4 thốn, nằm trên mạch Nhâm.",0,,
172,Huyệt Quan nguyên có tác dụng gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Bồi bổ nguyên khí, trị các chứng suy nhược, bệnh về sinh dục và tiết niệu.",0,,
173,Huyệt Thiên đột nằm ở đâu?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Nằm ở chính giữa chỗ lõm trên xương ức.,0,,
174,Bài thuốc 'Chỉ kinh tán' gồm những vị nào và dùng trị chứng gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Gồm Toàn yết và Ngô công; dùng để trị các chứng co giật, kinh phong.",0,,
175,Huyệt nào trị đau răng hàm trên?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Huyệt Nội đình.,0,,
176,Huyệt É minh chủ trị các bệnh gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Cận thị, viễn thị, tai ù, đau đầu, mất ngủ, đục nhân mắt thời kỳ đầu.",0,,
177,Huyệt Đan điền thường được dùng để chỉ nhóm huyệt nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Thường chỉ các huyệt vùng bụng dưới như Quan nguyên, Khí hải, Thạch môn.",0,,
178,Vị trí huyệt Tình minh?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Nằm ở chỗ lõm phía trên khóe mắt trong 0,1 thốn.",0,,
179,Huyệt Thính cung nằm ở đâu?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Nằm ở phía trước bình tai, chỗ lõm khi há miệng.",0,,
180,Phủ Tam tiêu có chức năng gì chính?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Chủ về thông đạo thủy dịch và là đường vận hành của nguyên khí.,0,,
181,Thế nào là 'Can mộc thừa Tỳ'?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Là tình trạng Can khí quá thịnh lấn át Tỳ Thổ, gây đau bụng, ỉa chảy, rối loạn tiêu hóa.",0,,
182,"Khi bị sốt cao hôn mê, Đông y thường dùng kỹ thuật gì tại các đầu ngón tay?","Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Châm nặn máu ở các huyệt Thập tuyên.,0,,
183,Huyệt Đại chùy nằm ở đâu?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Nằm ở dưới gai đốt sống cổ số 7.,0,,
184,Tác dụng của huyệt Phế du?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Trị ho, hen suyễn, lẹo mắt, các bệnh về phổi và đường hô hấp.",0,,
185,Huyệt Thái xung nằm ở đâu?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Nằm ở kẽ giữa xương bàn chân ngón 1 và ngón 2, phía mu bàn chân.",0,,
186,Huyệt Hành gian thuộc kinh nào và trị bệnh gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Thuộc kinh Túc quyết âm Can; trị đau đầu, mắt đỏ sưng đau, kinh nguyệt không đều.",0,,
187,Huyệt Huyết hải nằm ở đâu?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Nằm ở mặt trong đùi, từ xương bánh chè đo lên 2 thốn.",0,,
188,Tác dụng của huyệt Huyết hải là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Điều huyết, thanh huyết nhiệt, trị các bệnh về da và kinh nguyệt.",0,,
189,Huyệt Ủy trung nằm ở đâu và có tác dụng gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Nằm ở chính giữa nếp gấp khoeo chân; chủ trị đau lưng, đau khớp gối.",0,,
190,Huyệt Côn lôn nằm ở đâu?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Nằm ở chỗ lõm giữa mắt cá ngoài và gân gót.,0,,
191,Thế nào là 'A thị huyệt'?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Là loại huyệt không có vị trí cố định, lấy điểm đau nhất của người bệnh làm huyệt.",0,,
192,Huyệt Toàn cơ và Hoa cái nằm trên mạch nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Nằm trên mạch Nhâm.,0,,
193,Huyệt Nghinh hương có tác dụng gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Thông mũi, trị ngạt mũi, chảy nước mũi, liệt mặt.",0,,
194,Huyệt Dương lăng tuyền là huyệt hội của bộ phận nào?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Là huyệt hội của Cân (gân).,0,,
195,Huyệt nào được coi là huyệt hội của Tủy?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Huyệt Tuyệt cốt (Huyền chung).,0,,
196,Huyệt nào được coi là huyệt hội của Khí?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Huyệt Đản trung (Chiên trung).,0,,
197,Chứng 'Tiêu khát' trong Đông y tương ứng với bệnh gì hiện nay?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Tương ứng với bệnh Đái tháo đường.,0,,
198,"Để điều trị sa dạ con, ngoài huyệt vùng bụng, người ta thường cứu huyệt nào ở đầu?","Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Huyệt Bách hội.,0,,
199,Tại sao Tinh hư lại dẫn đến sức chống bệnh giảm?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Vì Tinh là cơ sở vật chất của nguyên khí, khi Tinh hư thì sức đề kháng (Vệ khí) suy yếu, dễ bị tà khí xâm phạm.",0,,
200,Đối tượng nghiên cứu chủ yếu trong triết lý y học phương Đông là gì?,Không đủ dữ liệu để kết luận đối tượng nghiên cứu chủ yếu trong triết lý y học phương Đông.,Đối tượng nghiên cứu chủ yếu là 'Khí'.,5,"{
  ""đối_tượng_nghiên_cứu"": {
    ""đối_tượng_dễ_mắc_bệnh"": ""Trẻ em và người lớn""
  }
}

---

{
  ""đối_tượng_nghiên_cứu"": {
    ""đối_tượng_dễ_mắc_bệnh"": ""Người trung niên và người già trên 40 tuổi""
  }
}

---

{
  ""đối_tượng_nghiên_cứu"": {
    ""đối_tượng_dễ_mắc_bệnh"": ""Chủ yếu tập trung vào trẻ em""
  }
}

---

{
  ""đối_tượng_nghiên_cứu"": {
    ""đối_tượng_dễ_mắc_bệnh"": ""người lớn, người già""
  }
}

---

{
  ""đối_tượng_nghiên_cứu"": {
    ""đối_tượng_dễ_mắc_bệnh"": ""Trẻ em, người già, người mất ý thức và những người bị rò khí quản thực quản hoặc đặt ống khí quản""
  }
}",0.0
201,Sách đề cập đến ba loại khí chính nào?,"Không đủ dữ liệu để kết luận về ba loại khí chính được đề cập trong các nguồn tham chiếu. Các nguồn chỉ nêu ra các bệnh và lĩnh vực y học liên quan, không nêu rõ các loại khí.","Ba loại khí chính gồm: Không khí, Thần khí và Dinh khí.",5,"{
  ""loại_khí"": {
    ""loại_bệnh"": ""[Bách khoa toàn thư về bệnh, nội khoa, thận]"",
    ""bệnh"": ""Nước tiểu máu""
  }
}

---

{
  ""loại_khí"": {
    ""loại_bệnh"": ""[Bách khoa toàn thư về bệnh, nội khoa, y học hô hấp]"",
    ""bệnh"": ""Lạnh thông thường""
  }
}

---

{
  ""loại_khí"": {
    ""loại_bệnh"": ""[Bách khoa toàn thư về bệnh, nội khoa, thận]"",
    ""bệnh"": ""Suy thận""
  }
}

---

{
  ""loại_khí"": {
    ""loại_bệnh"": ""[Bách khoa toàn thư về bệnh, nội khoa, y học hô hấp]"",
    ""bệnh"": ""Cơ thể nước ngoài hô hấp""
  }
}

---

{
  ""loại_khí"": {
    ""loại_bệnh"": ""[Bách khoa toàn thư về bệnh, nội khoa, y học tiêu hóa]"",
    ""bệnh"": ""Nước trong bụng""
  }
}",1.0
202,Nguyên khí còn được gọi bằng những tên nào khác?,Nguyên khí còn được gọi là tổn thương khí và tổn thương âm.,Nguyên khí còn gọi là chân khí hoặc khí của chân nguyên.,2,"{
  ""nguyên_khí"": {
    ""mô_tả_bệnh"": ""Còn được gọi là tổn thương khí và tổn thương âm. Trên lâm sàng có thể thấy được triệu chứng khí hư, âm hư. Nó thường được tìm thấy trong nhiều bệnh mãn tính, chẳng hạn như viêm thận mãn tính, tiểu đường, bệnh gan mãn tính, v.v. Cũng được tìm thấy trong quá trình bệnh liên quan đến nhiệt, tồn tại trong sự phân chia của chi, theo thời gian sẽ làm hỏng chi và âm; Hoặc quá nhiều nhiệt có thể làm hỏng chất lỏng cơ thể, khiến khí chảy ra với chất lỏng; Hoặc ở giai đoạn sau của bệnh ôn nhiệt và tạp bệnh nội thương, chân âm hao hết, nguyên khí bị hao tổn nghiêm trọng. Các triệu chứng lâm sàng chính bao gồm khô miệng, khát, mệt mỏi và thiếu sức mạnh."",
    ""bệnh"": ""Khí âm hư""
  }
}

---

{
  ""nguyên_khí"": {
    ""mô_tả_bệnh"": ""Tay chân tâm nhiệt: tên bệnh Đông y. Có cảm giác nóng ở lòng bàn tay và lòng bàn chân. Lời bài hát: Danxi Heart Art - Fever Thường do âm hư nội nhiệt gây ra, hoặc do nhiệt độ gây ra nội liễm gây nên.\nNội thương tỳ vị có thể khiến tay chân nóng tim. Trong cuốn sách \""Luận ngoại thương chi biện\"", Đông Nguyên đã tiến hành phân biệt nội thương và ngoại cảm. Trong \""Biện tâm bối\"" chỉ ra, bệnh ngoại cảm, cùng nóng lạnh, cùng tay nóng mà tay không nóng, là chứng kiến bề ngoài tà ác. Bệnh nội thương bao gồm luân phiên nóng và lạnh. Bất cứ khi nào bàn tay nóng và mu bàn tay không nóng, đó là bằng chứng về sự mất nhiệt của nguyên khí. Do đó, vết thương bên trong lá lách và dạ dày có thể dẫn đến triệu chứng sốt tay và chân.\nĐông y trị liệu tay chân tâm nhiệt, thường lấy âm dương mất cân đối, gan nóng lên, hun khói nóng ẩm, tỳ vị suy yếu, tích thực tắc nghẽn làm phương pháp trị liệu. Theo phương pháp Đông Nguyên để điều trị sốt tay chân do nội thương tỳ vị gây ra, có thể đạt được hiệu quả điều trị tốt trên lâm sàng."",
    ""bệnh"": ""Tay và chân Heart Heart""
  }
}",1.0
203,Vinh khí được hình thành từ đâu?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Vinh khí được hóa thành từ ngũ vị của đồ ăn thức uống, sau khi được tỳ vận hóa và nguyên khí xúc tác.",0,,
204,Tông khí là sự kết hợp của những loại khí nào?,Không đủ dữ liệu để kết luận.,Tông khí là khí trời hợp với khí của tỳ vị mà thành.,2,"{
  ""tông_khí"": {
    ""mô_tả_bệnh"": ""Là chỉ các chứng bệnh gây ra sau khi bệnh nhiều mồ hôi, tiêu chảy hoặc lao động quá sức, tâm khí suy giảm, thể chất suy yếu. Biểu hiện là tim đập nhanh, khó thở (tăng thêm khi hoạt động), đổ mồ hôi, tức ngực hoặc đau đớn, sắc mặt tái nhợt, mệt mỏi, lưỡi tái nhợt, lưỡi non nớt, rêu trắng, mạch hư. Trị liệu nên lấy ích khí dưỡng huyết làm chủ.\nKhí hư đề cập đến sự thiếu hụt của tinh khí, tông khí và vệ khí, tăng, nhiệt độ, phòng thủ, cố định và chức năng khí hóa giảm, dẫn đến một số hoạt động chức năng của cơ thể giảm hoặc suy giảm, cũng như giảm khả năng kháng bệnh và các hiện tượng suy nhược khác. Thường do bẩm sinh không đủ tư chất, sau khi sinh không đủ dinh dưỡng hoặc kiệt sức (\""kiệt sức\""), bệnh lâu ngày hoặc chức năng của các cơ quan nội tạng như phổi, tỳ, thận giảm xuống, khí sinh hóa không đủ......\nCác biểu hiện bệnh lý của khí hư có thể liên quan đến tất cả các khía cạnh của cơ thể. Ví dụ, khí hư dẫn đến phòng thủ bên ngoài yếu, bề mặt cơ bắp yếu và dễ đổ mồ hôi. Khí hư có thể dẫn đến cơ bắp tứ chi không đủ dinh dưỡng, toàn thân mệt mỏi. Khí hư dẫn đến thanh dương không đủ, thanh khiếu dinh dưỡng không đủ, tinh thần mệt mỏi, choáng váng ù tai. Khí hư dẫn đến không có khả năng thúc đẩy lưu thông máu, có thể dẫn đến mạch yếu hoặc mịn."",
    ""bệnh"": ""Tâm khí giả chứng""
  }
}

---

{
  ""tông_khí"": {
    ""mô_tả_bệnh"": ""Khí không đủ, tên bệnh. Nó còn được gọi là thiếu hụt tông khí. Trung khí, còn gọi là tỳ vị khí, là cơ sở phát triển sau này. Nếu như trung khí không đủ, ngôn ngữ vô lực, thân thể con người không có nguồn nước hoạt động, vậy thì ngồi ăn cơm. Mấu chốt để duy trì trung khí là phải ăn chay, ăn ít, không nên ăn đồ nguội. Tỳ vị suy yếu, cũng như không thể tuần hoàn và chuyển hóa bình thường. Các triệu chứng bao gồm vàng và xỉn màu, môi nhợt nhạt hoặc xỉn màu, khó ăn, đầy hơi sau bữa ăn, chóng mặt, giọng nói thấp, khó thở, mệt mỏi và phân loãng. Nếu bạn cũng bị đau dạ dày, bạn có thể cảm thấy đau và thích nhấn, lưỡi mềm, rêu dày và mạch yếu."",
    ""bệnh"": ""Thiếu hụt giữa không gian""
  }
}",0.0
205,Vệ khí có nguồn gốc từ đâu và do tạng nào tuyên phát?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.",Vệ khí bắt nguồn từ tiên thiên do dương khí của thận sinh ra và được tuyên phát bởi tạng phế.,0,,
206,Chức năng chính của Vệ khí là gì?,"Xin lỗi, tôi không tìm được thông tin phù hợp trong cơ sở tri thức hiện có.","Vệ khí làm ấm nội tạng, thấm nhuận da lông, đóng mở lỗ chân lông và bảo vệ cơ thể chống ngoại tà.",0,,
